,Symbol
0,MMM
1,AOS
2,ABT
3,ABBV
4,ABMD
5,ACN
6,ATVI
7,ADM
8,ADBE
9,ADP
10,AAP
11,AES
12,AFL
13,A
14,AIG
15,APD
16,AKAM
17,ALK
18,ALB
19,ARE
20,ALGN
21,ALLE
22,LNT
23,ALL
24,GOOGL
25,GOOG
26,MO
27,AMZN
28,AMCR
29,AMD
30,AEE
31,AAL
32,AEP
33,AXP
34,AMT
35,AWK
36,AMP
37,ABC
38,AME
39,AMGN
40,APH
41,ADI
42,ANSS
43,ANTM
44,AON
45,APA
46,AAPL
47,AMAT
48,APTV
49,ANET
50,AJG
51,AIZ
52,T
53,ATO
54,ADSK
55,AZO
56,AVB
57,AVY
58,BKR
59,BLL
60,BAC
61,BBWI
62,BAX
63,BDX
64,BRK.B
65,BBY
66,BIO
67,TECH
68,BIIB
69,BLK
70,BK
71,BA
72,BKNG
73,BWA
74,BXP
75,BSX
76,BMY
77,AVGO
78,BR
79,BRO
80,BF.B
81,CHRW
82,CDNS
83,CZR
84,CPB
85,COF
86,CAH
87,KMX
88,CCL
89,CARR
90,CTLT
91,CAT
92,CBOE
93,CBRE
94,CDW
95,CE
96,CNC
97,CNP
98,CDAY
99,CERN
100,CF
101,CRL
102,SCHW
103,CHTR
104,CVX
105,CMG
106,CB
107,CHD
108,CI
109,CINF
110,CTAS
111,CSCO
112,C
113,CFG
114,CTXS
115,CLX
116,CME
117,CMS
118,KO
119,CTSH
120,CL
121,CMCSA
122,CMA
123,CAG
124,COP
125,ED
126,STZ
127,COO
128,CPRT
129,GLW
130,CTVA
131,COST
132,CTRA
133,CCI
134,CSX
135,CMI
136,CVS
137,DHI
138,DHR
139,DRI
140,DVA
141,DE
142,DAL
143,XRAY
144,DVN
145,DXCM
146,FANG
147,DLR
148,DFS
149,DISCA
150,DISCK
151,DISH
152,DG
153,DLTR
154,D
155,DPZ
156,DOV
157,DOW
158,DTE
159,DUK
160,DRE
161,DD
162,DXC
163,EMN
164,ETN
165,EBAY
166,ECL
167,EIX
168,EW
169,EA
170,EMR
171,ENPH
172,ETR
173,EOG
174,EPAM
175,EFX
176,EQIX
177,EQR
178,ESS
179,EL
180,ETSY
181,RE
182,EVRG
183,ES
184,EXC
185,EXPE
186,EXPD
187,EXR
188,XOM
189,FFIV
190,FDS
191,FAST
192,FRT
193,FDX
194,FIS
195,FITB
196,FE
197,FRC
198,FISV
199,FLT
200,FMC
201,F
202,FTNT
203,FTV
204,FBHS
205,FOXA
206,FOX
207,BEN
208,FCX
209,GPS
210,GRMN
211,IT
212,GNRC
213,GD
214,GE
215,GIS
216,GM
217,GPC
218,GILD
219,GL
220,GPN
221,GS
222,GWW
223,HAL
224,HIG
225,HAS
226,HCA
227,PEAK
228,HSIC
229,HSY
230,HES
231,HPE
232,HLT
233,HOLX
234,HD
235,HON
236,HRL
237,HST
238,HWM
239,HPQ
240,HUM
241,HBAN
242,HII
243,IEX
244,IDXX
245,INFO
246,ITW
247,ILMN
248,INCY
249,IR
250,INTC
251,ICE
252,IBM
253,IP
254,IPG
255,IFF
256,INTU
257,ISRG
258,IVZ
259,IPGP
260,IQV
261,IRM
262,JKHY
263,J
264,JBHT
265,SJM
266,JNJ
267,JCI
268,JPM
269,JNPR
270,K
271,KEY
272,KEYS
273,KMB
274,KIM
275,KMI
276,KLAC
277,KHC
278,KR
279,LHX
280,LH
281,LRCX
282,LW
283,LVS
284,LDOS
285,LEN
286,LLY
287,LNC
288,LIN
289,LYV
290,LKQ
291,LMT
292,L
293,LOW
294,LUMN
295,LYB
296,MTB
297,MRO
298,MPC
299,MKTX
300,MAR
301,MMC
302,MLM
303,MAS
304,MA
305,MTCH
306,MKC
307,MCD
308,MCK
309,MDT
310,MRK
311,FB
312,MET
313,MTD
314,MGM
315,MCHP
316,MU
317,MSFT
318,MAA
319,MRNA
320,MHK
321,TAP
322,MDLZ
323,MPWR
324,MNST
325,MCO
326,MS
327,MOS
328,MSI
329,MSCI
330,NDAQ
331,NTAP
332,NFLX
333,NWL
334,NEM
335,NWSA
336,NWS
337,NEE
338,NLSN
339,NKE
340,NI
341,NSC
342,NTRS
343,NOC
344,NLOK
345,NCLH
346,NRG
347,NUE
348,NVDA
349,NVR
350,NXPI
351,ORLY
352,OXY
353,ODFL
354,OMC
355,OKE
356,ORCL
357,OGN
358,OTIS
359,PCAR
360,PKG
361,PH
362,PAYX
363,PAYC
364,PYPL
365,PENN
366,PNR
367,PBCT
368,PEP
369,PKI
370,PFE
371,PM
372,PSX
373,PNW
374,PXD
375,PNC
376,POOL
377,PPG
378,PPL
379,PFG
380,PG
381,PGR
382,PLD
383,PRU
384,PEG
385,PTC
386,PSA
387,PHM
388,PVH
389,QRVO
390,PWR
391,QCOM
392,DGX
393,RL
394,RJF
395,RTX
396,O
397,REG
398,REGN
399,RF
400,RSG
401,RMD
402,RHI
403,ROK
404,ROL
405,ROP
406,ROST
407,RCL
408,SPGI
409,CRM
410,SBAC
411,SLB
412,STX
413,SEE
414,SRE
415,NOW
416,SHW
417,SBNY
418,SPG
419,SWKS
420,SNA
421,SEDG
422,SO
423,LUV
424,SWK
425,SBUX
426,STT
427,STE
428,SYK
429,SIVB
430,SYF
431,SNPS
432,SYY
433,TMUS
434,TROW
435,TTWO
436,TPR
437,TGT
438,TEL
439,TDY
440,TFX
441,TER
442,TSLA
443,TXN
444,TXT
445,TMO
446,TJX
447,TSCO
448,TT
449,TDG
450,TRV
451,TRMB
452,TFC
453,TWTR
454,TYL
455,TSN
456,UDR
457,ULTA
458,USB
459,UAA
460,UA
461,UNP
462,UAL
463,UNH
464,UPS
465,URI
466,UHS
467,VLO
468,VTR
469,VRSN
470,VRSK
471,VZ
472,VRTX
473,VFC
474,VIAC
475,VTRS
476,V
477,VNO
478,VMC
479,WRB
480,WAB
481,WMT
482,WBA
483,DIS
484,WM
485,WAT
486,WEC
487,WFC
488,WELL
489,WST
490,WDC
491,WRK
492,WY
493,WHR
494,WMB
495,WTW
496,WYNN
497,XEL
498,XLNX
499,XYL
500,YUM
501,ZBRA
502,ZBH
503,ZION
504,ZTS
